Suburb,Rooms,Type,Price,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Regionname
Melbourne,2,u,520000,1,1,1,4051,Melbourne,Northern Metropolitan
Melbourne,1,u,440000,1,1,1,0,Melbourne,Northern Metropolitan
Melbourne,1,u,436000,1,1,0,0,Melbourne,Northern Metropolitan
Melbourne,2,u,733000,2,2,1,0,Melbourne,Northern Metropolitan
Melbourne,2,u,675000,2,2,1,0,Melbourne,Northern Metropolitan
Melbourne,3,h,1630000,3,2,0,95,Melbourne,Northern Metropolitan
Melbourne,3,u,760000,2,2,1,0,Melbourne,Northern Metropolitan
Melbourne,2,u,360000,1,1,1,1136,Melbourne,Northern Metropolitan
Melbourne,2,u,390000,2,1,1,1751,Melbourne,Northern Metropolitan
Middle Park,3,h,2600000,3,1,1,279,Port Phillip,Southern Metropolitan
Middle Park,3,h,2350000,3,1,2,277,Port Phillip,Southern Metropolitan
Middle Park,3,h,2956000,3,2,0,300,Port Phillip,Southern Metropolitan
Middle Park,2,u,535000,2,1,1,760,Port Phillip,Southern Metropolitan
Middle Park,1,u,400000,1,1,1,0,Port Phillip,Southern Metropolitan
Middle Park,2,h,1690000,2,1,1,145,Port Phillip,Southern Metropolitan
Middle Park,2,h,1020000,2,1,1,107,Port Phillip,Southern Metropolitan
Middle Park,2,h,1515000,3,1,0,98,Port Phillip,Southern Metropolitan
Middle Park,2,u,700000,2,1,1,0,Port Phillip,Southern Metropolitan
Middle Park,3,h,2360000,3,1,1,288,Port Phillip,Southern Metropolitan
Middle Park,3,h,2005000,3,1,0,220,Port Phillip,Southern Metropolitan
Middle Park,2,u,702000,2,1,1,0,Port Phillip,Southern Metropolitan
Middle Park,4,h,3120000,4,2,1,182,Port Phillip,Southern Metropolitan
Middle Park,2,h,1025000,2,1,0,123,Port Phillip,Southern Metropolitan
Middle Park,2,h,1920000,2,1,0,152,Port Phillip,Southern Metropolitan
Middle Park,3,h,2623000,3,2,2,181,Port Phillip,Southern Metropolitan
Middle Park,3,h,1500000,3,2,1,151,Port Phillip,Southern Metropolitan
Middle Park,2,h,1630000,2,1,0,152,Port Phillip,Southern Metropolitan
Middle Park,3,h,1910000,3,1,3,217,Port Phillip,Southern Metropolitan
Mont Albert,2,h,1320000,2,1,1,613,Whitehorse,Eastern Metropolitan
Mont Albert,4,h,2850000,4,2,2,1388,Whitehorse,Eastern Metropolitan
Mont Albert,2,u,750000,2,2,2,0,Whitehorse,Eastern Metropolitan
Mont Albert,3,h,2588000,3,3,2,1149,Whitehorse,Eastern Metropolitan
Mont Albert,5,h,1955000,5,3,2,424,Whitehorse,Eastern Metropolitan
Mont Albert,5,h,1400000,5,4,2,355,Whitehorse,Eastern Metropolitan
Mont Albert,2,u,665000,2,2,2,1291,Whitehorse,Eastern Metropolitan
Mont Albert,5,h,2714000,5,2,2,1053,Whitehorse,Eastern Metropolitan
Mont Albert,6,h,2350000,6,3,3,2026,Whitehorse,Eastern Metropolitan
Mont Albert,4,h,2200000,4,2,2,931,Whitehorse,Eastern Metropolitan
Mont Albert,2,t,660000,2,2,1,146,Whitehorse,Eastern Metropolitan
Mont Albert,3,t,1310000,3,2,2,330,Whitehorse,Eastern Metropolitan
Mont Albert,2,u,540000,2,1,1,0,Whitehorse,Eastern Metropolitan
Mont Albert,4,h,2335000,4,2,2,813,Whitehorse,Eastern Metropolitan
Mont Albert,4,h,2000000,3,2,1,626,Whitehorse,Eastern Metropolitan
Mont Albert,5,h,1815000,5,1,0,711,Whitehorse,Eastern Metropolitan
Mont Albert,2,u,725000,2,2,2,0,Whitehorse,Eastern Metropolitan
Mont Albert,4,h,3900000,4,2,6,2187,Whitehorse,Eastern Metropolitan
Mont Albert,2,h,666000,2,1,1,0,Whitehorse,Eastern Metropolitan
Mont Albert,3,t,1200000,3,2,2,255,Whitehorse,Eastern Metropolitan
Mont Albert,3,h,1564000,3,2,2,640,Whitehorse,Eastern Metropolitan
Mont Albert,2,u,520000,2,1,1,0,Whitehorse,Eastern Metropolitan
Moonee Ponds,3,u,670000,3,2,2,0,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1715000,4,2,3,668,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1055000,3,2,2,0,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,348000,2,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1780000,4,3,2,615,Moonee Valley,Western Metropolitan
Moonee Ponds,6,h,2150000,6,3,2,912,Moonee Valley,Western Metropolitan
Moonee Ponds,5,h,1730000,5,1,1,584,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1440000,3,2,1,287,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1225000,4,1,1,388,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1445000,3,3,2,384,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,990000,3,1,2,328,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1400000,3,2,2,597,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1550000,3,2,3,477,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1170000,3,1,1,443,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1120000,4,1,1,571,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,675000,2,1,1,206,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,880000,3,2,2,315,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1530000,3,2,1,431,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1350000,4,2,2,447,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,832000,3,2,2,214,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,420000,2,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,2400000,4,4,2,636,Moonee Valley,Western Metropolitan
Moonee Ponds,3,u,565000,2,2,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,550000,2,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1211000,3,1,3,477,Moonee Valley,Western Metropolitan
Moonee Ponds,5,h,2405000,5,2,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1395000,4,1,2,603,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1630000,3,2,0,408,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1160000,3,1,1,449,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1065000,3,1,1,395,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1361500,4,1,2,453,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,945000,2,1,0,225,Moonee Valley,Western Metropolitan
Moonee Ponds,1,u,360000,1,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,860000,2,1,1,301,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1260000,3,2,1,253,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1637000,4,1,3,539,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1505000,3,2,2,249,Moonee Valley,Western Metropolitan
Moonee Ponds,2,t,515000,2,1,1,1981,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1100000,3,1,2,572,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,330000,2,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1145000,3,2,2,478,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1322000,3,1,1,549,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,1015000,2,1,1,228,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,750000,2,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,1013000,2,1,0,237,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,840000,3,1,0,307,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1150000,4,2,1,481,Moonee Valley,Western Metropolitan
Moonee Ponds,5,h,1900000,5,3,2,646,Moonee Valley,Western Metropolitan
Moonee Ponds,3,t,890500,3,2,1,213,Moonee Valley,Western Metropolitan
Moonee Ponds,5,h,2340000,5,3,3,619,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1370000,3,1,2,427,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1400000,3,2,2,394,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1310000,3,3,2,475,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1833000,4,1,1,583,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,855000,3,1,1,274,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,930000,2,1,1,305,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1640000,4,2,1,435,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1480000,3,1,2,436,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,672000,2,1,2,230,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,410000,2,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,5,t,980000,5,2,2,207,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,1055000,2,1,1,292,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,440000,2,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1435000,3,1,3,633,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1275000,4,2,1,627,Moonee Valley,Western Metropolitan
Moonee Ponds,3,t,842500,3,2,1,216,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1345000,4,2,2,313,Moonee Valley,Western Metropolitan
Moonee Ponds,1,u,265000,1,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,849000,2,1,1,345,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1425000,3,1,1,526,Moonee Valley,Western Metropolitan
Moonee Ponds,3,t,1345000,3,2,1,310,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,330000,3,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,4,t,726000,4,2,1,67,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1250000,3,2,1,283,Moonee Valley,Western Metropolitan
Moonee Ponds,3,t,870000,3,2,2,156,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,801000,2,1,0,133,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1725000,3,2,3,596,Moonee Valley,Western Metropolitan
Moonee Ponds,1,u,415000,1,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,3,u,650000,3,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,600000,2,1,1,166,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1505000,4,2,2,441,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,850000,3,2,1,271,Moonee Valley,Western Metropolitan
Moonee Ponds,1,u,292000,1,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,956000,2,1,2,435,Moonee Valley,Western Metropolitan
Moonee Ponds,5,h,1740000,4,1,2,739,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1683000,3,2,2,222,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,574000,2,2,1,159,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,470000,2,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,3,t,1130000,3,2,2,217,Moonee Valley,Western Metropolitan
Moonee Ponds,2,u,730000,2,1,2,217,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,831000,2,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,930000,3,3,1,325,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,800000,2,1,1,207,Moonee Valley,Western Metropolitan
Moonee Ponds,3,h,1111000,3,1,2,502,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,900000,2,1,1,339,Moonee Valley,Western Metropolitan
Moonee Ponds,2,h,822500,3,1,1,219,Moonee Valley,Western Metropolitan
Moonee Ponds,4,h,1400000,3,2,2,595,Moonee Valley,Western Metropolitan
Moonee Ponds,1,u,336000,1,1,1,0,Moonee Valley,Western Metropolitan
Moonee Ponds,2,t,800000,2,2,2,239,Moonee Valley,Western Metropolitan
Moorabbin,3,h,1224000,3,1,3,834,Kingston,Southern Metropolitan
Moorabbin,3,h,1020000,3,1,3,771,Kingston,Southern Metropolitan
Moorabbin,3,h,1000000,3,2,2,573,Kingston,Southern Metropolitan
Moorabbin,1,u,380500,1,1,1,106,Kingston,Southern Metropolitan
Moorabbin,4,h,930000,4,3,2,443,Kingston,Southern Metropolitan
Moorabbin,3,h,1090000,3,2,2,784,Kingston,Southern Metropolitan
Moorabbin,4,h,947500,4,2,2,609,Kingston,Southern Metropolitan
Moorabbin,3,h,836000,3,1,4,695,Kingston,Southern Metropolitan
Moorabbin,3,h,1417250,3,2,2,653,Kingston,Southern Metropolitan
Moorabbin,3,h,980000,3,1,2,623,Kingston,Southern Metropolitan
Moorabbin,3,h,1110000,3,1,4,690,Kingston,Southern Metropolitan
Moorabbin,2,h,950000,2,1,3,649,Kingston,Southern Metropolitan
Moorabbin,4,h,1140000,4,2,1,318,Kingston,Southern Metropolitan
Moorabbin,3,t,750000,3,2,1,164,Kingston,Southern Metropolitan
Moorabbin,3,u,931000,3,1,2,313,Kingston,Southern Metropolitan
Moorabbin,4,h,1000000,4,3,4,581,Kingston,Southern Metropolitan
Moorabbin,2,u,655000,2,1,1,1202,Kingston,Southern Metropolitan
Moorabbin,4,h,1200000,4,2,1,696,Kingston,Southern Metropolitan
Moorabbin,3,h,987000,3,1,1,603,Kingston,Southern Metropolitan
Moorabbin,3,h,937000,3,2,1,534,Kingston,Southern Metropolitan
Moorabbin,4,h,1426000,4,2,1,720,Kingston,Southern Metropolitan
Moorabbin,4,h,1016000,4,3,2,272,Kingston,Southern Metropolitan
Moorabbin,3,t,910000,3,2,2,312,Kingston,Southern Metropolitan
Moorabbin,4,h,1385000,4,2,2,807,Kingston,Southern Metropolitan
Moorabbin,3,t,785000,3,2,2,169,Kingston,Southern Metropolitan
Moorabbin,3,h,901000,2,2,3,558,Kingston,Southern Metropolitan
Moorabbin,4,h,1300000,4,3,2,743,Kingston,Southern Metropolitan
Moorabbin,3,h,975000,2,1,2,576,Kingston,Southern Metropolitan
Moorabbin,4,h,1070000,4,2,1,603,Kingston,Southern Metropolitan
Moorabbin,2,u,639000,2,1,1,83,Kingston,Southern Metropolitan
Moorabbin,2,u,605000,2,1,2,180,Kingston,Southern Metropolitan
Moorabbin,3,h,960000,3,1,1,593,Kingston,Southern Metropolitan
Moorabbin,3,h,725000,3,2,1,374,Kingston,Southern Metropolitan
Moorabbin,3,h,981000,2,1,2,601,Kingston,Southern Metropolitan
Moorabbin,3,h,975000,3,1,2,650,Kingston,Southern Metropolitan
Moorabbin,3,h,800000,3,2,2,261,Kingston,Southern Metropolitan
Moorabbin,4,h,921000,4,1,2,592,Kingston,Southern Metropolitan
Moorabbin,3,t,917000,3,2,2,472,Kingston,Southern Metropolitan
Moorabbin,3,h,890000,3,1,1,698,Kingston,Southern Metropolitan
Moorabbin,3,h,1008000,3,2,1,1660,Kingston,Southern Metropolitan
Moorabbin,2,h,1191000,2,1,2,756,Kingston,Southern Metropolitan
Moorabbin,4,h,1130000,4,1,2,638,Kingston,Southern Metropolitan
Moorabbin,2,h,776000,2,1,1,209,Kingston,Southern Metropolitan
Moorabbin,4,h,1035000,3,1,2,688,Kingston,Southern Metropolitan
Moorabbin,3,h,920000,3,1,1,653,Kingston,Southern Metropolitan
Moorabbin,4,h,1160000,4,2,2,588,Kingston,Southern Metropolitan
Moorabbin,3,h,825000,3,1,2,538,Kingston,Southern Metropolitan
Moorabbin,3,t,800000,3,2,1,0,Kingston,Southern Metropolitan
Moorabbin,1,u,240000,1,1,1,0,Kingston,Southern Metropolitan
Moorabbin,4,t,1105000,3,2,2,220,Kingston,Southern Metropolitan
Newport,3,h,1025000,3,2,2,301,Hobsons Bay,Western Metropolitan
Newport,3,h,826000,2,1,2,281,Hobsons Bay,Western Metropolitan
Newport,3,h,900000,3,2,2,194,Hobsons Bay,Western Metropolitan
Newport,3,t,962000,3,2,2,283,Hobsons Bay,Western Metropolitan
Newport,2,h,800000,2,1,1,244,Hobsons Bay,Western Metropolitan
Newport,3,h,785000,3,2,2,0,Hobsons Bay,Western Metropolitan
Newport,4,h,710000,4,1,2,329,Hobsons Bay,Western Metropolitan
Newport,3,h,920000,3,2,2,296,Hobsons Bay,Western Metropolitan
Newport,4,h,940000,3,2,1,379,Hobsons Bay,Western Metropolitan
Newport,3,h,655800,2,2,1,178,Hobsons Bay,Western Metropolitan
Newport,4,h,1082000,4,3,2,233,Hobsons Bay,Western Metropolitan
Newport,3,h,1210000,3,1,1,546,Hobsons Bay,Western Metropolitan
Newport,3,h,880000,3,1,1,557,Hobsons Bay,Western Metropolitan
Newport,1,u,335000,1,1,1,0,Hobsons Bay,Western Metropolitan
Newport,4,h,1260000,4,1,3,757,Hobsons Bay,Western Metropolitan
Newport,3,h,1400000,3,2,3,2522,Hobsons Bay,Western Metropolitan
Newport,3,h,995000,3,1,2,316,Hobsons Bay,Western Metropolitan
Newport,4,h,1380000,4,1,4,766,Hobsons Bay,Western Metropolitan
Newport,3,h,1220000,3,2,0,311,Hobsons Bay,Western Metropolitan
Newport,3,h,785000,3,1,1,185,Hobsons Bay,Western Metropolitan
Newport,2,h,962000,2,1,1,402,Hobsons Bay,Western Metropolitan
Newport,4,h,860000,3,3,2,217,Hobsons Bay,Western Metropolitan
Newport,5,h,1220000,5,3,2,681,Hobsons Bay,Western Metropolitan
Newport,3,h,930000,3,1,1,307,Hobsons Bay,Western Metropolitan
Newport,3,h,930000,3,2,1,343,Hobsons Bay,Western Metropolitan
Newport,3,h,800000,3,2,1,0,Hobsons Bay,Western Metropolitan
Newport,3,h,1305000,3,1,0,357,Hobsons Bay,Western Metropolitan
Newport,3,h,1060000,3,1,4,600,Hobsons Bay,Western Metropolitan
Newport,2,u,485000,2,1,1,0,Hobsons Bay,Western Metropolitan
Newport,3,h,950000,3,2,1,224,Hobsons Bay,Western Metropolitan
Newport,2,h,910000,2,1,1,264,Hobsons Bay,Western Metropolitan
Newport,3,h,810000,3,1,1,390,Hobsons Bay,Western Metropolitan
Newport,3,h,776000,3,1,3,363,Hobsons Bay,Western Metropolitan
Newport,3,h,1002500,3,1,2,501,Hobsons Bay,Western Metropolitan
Newport,3,h,807500,3,1,3,647,Hobsons Bay,Western Metropolitan
Newport,2,h,1120000,1,1,3,574,Hobsons Bay,Western Metropolitan
Newport,3,h,950000,2,2,2,281,Hobsons Bay,Western Metropolitan
Newport,4,h,1620000,4,3,1,425,Hobsons Bay,Western Metropolitan
Newport,3,h,923000,3,1,0,221,Hobsons Bay,Western Metropolitan
Newport,2,h,1030000,2,1,2,470,Hobsons Bay,Western Metropolitan
Newport,3,h,1046000,3,2,2,284,Hobsons Bay,Western Metropolitan
Newport,3,h,716000,3,1,2,268,Hobsons Bay,Western Metropolitan
Newport,2,h,740000,2,2,1,213,Hobsons Bay,Western Metropolitan
Newport,4,h,970000,3,1,1,619,Hobsons Bay,Western Metropolitan
Newport,3,t,735000,3,2,2,0,Hobsons Bay,Western Metropolitan
Newport,2,h,762000,2,1,2,451,Hobsons Bay,Western Metropolitan
Newport,2,u,485000,2,1,1,0,Hobsons Bay,Western Metropolitan
Newport,3,h,950000,3,1,2,453,Hobsons Bay,Western Metropolitan
Newport,4,h,1280000,4,2,1,458,Hobsons Bay,Western Metropolitan
Newport,4,h,1040000,3,2,2,299,Hobsons Bay,Western Metropolitan
Newport,2,h,922000,2,1,0,301,Hobsons Bay,Western Metropolitan
Newport,5,h,2415000,3,3,2,803,Hobsons Bay,Western Metropolitan
Newport,4,h,1115000,4,1,1,0,Hobsons Bay,Western Metropolitan
Newport,3,h,1675000,3,2,2,575,Hobsons Bay,Western Metropolitan
Newport,3,h,1176000,3,1,2,767,Hobsons Bay,Western Metropolitan
Newport,4,h,1265000,5,2,2,774,Hobsons Bay,Western Metropolitan
Newport,2,h,801000,1,1,1,343,Hobsons Bay,Western Metropolitan
Newport,3,h,1185000,3,1,2,771,Hobsons Bay,Western Metropolitan
Newport,3,t,770000,3,2,2,224,Hobsons Bay,Western Metropolitan
Newport,3,h,1200000,3,2,0,288,Hobsons Bay,Western Metropolitan
Newport,3,h,993000,3,2,2,348,Hobsons Bay,Western Metropolitan
Newport,3,h,901000,3,1,1,557,Hobsons Bay,Western Metropolitan
Newport,2,h,650000,2,1,1,149,Hobsons Bay,Western Metropolitan
Newport,3,h,891500,3,1,0,344,Hobsons Bay,Western Metropolitan
Newport,4,h,3420000,4,2,2,757,Hobsons Bay,Western Metropolitan
Newport,3,h,805000,3,1,2,322,Hobsons Bay,Western Metropolitan
Newport,2,h,680000,2,1,1,229,Hobsons Bay,Western Metropolitan
Newport,4,t,827500,4,3,2,221,Hobsons Bay,Western Metropolitan
Newport,2,h,793000,2,1,1,144,Hobsons Bay,Western Metropolitan
Newport,3,h,988000,3,1,1,450,Hobsons Bay,Western Metropolitan
Newport,3,t,747000,3,2,2,753,Hobsons Bay,Western Metropolitan
Newport,3,h,910000,3,1,2,531,Hobsons Bay,Western Metropolitan
Newport,2,h,896000,2,1,0,297,Hobsons Bay,Western Metropolitan
Newport,2,h,890000,2,1,0,168,Hobsons Bay,Western Metropolitan
Newport,3,h,1199000,3,1,3,506,Hobsons Bay,Western Metropolitan
Newport,3,h,1100000,3,2,1,293,Hobsons Bay,Western Metropolitan
Newport,5,h,2015000,5,2,4,1017,Hobsons Bay,Western Metropolitan
Newport,4,t,930000,4,3,3,278,Hobsons Bay,Western Metropolitan
Newport,3,h,1151000,2,1,5,571,Hobsons Bay,Western Metropolitan
Newport,4,t,820000,4,2,2,753,Hobsons Bay,Western Metropolitan
Newport,2,u,670000,2,1,1,190,Hobsons Bay,Western Metropolitan
Newport,3,h,1040000,3,1,2,595,Hobsons Bay,Western Metropolitan
Newport,4,h,1316000,4,2,3,539,Hobsons Bay,Western Metropolitan
Newport,2,h,816000,2,1,1,315,Hobsons Bay,Western Metropolitan
Newport,3,h,945000,4,2,1,487,Hobsons Bay,Western Metropolitan
Newport,1,h,643700,1,1,0,129,Hobsons Bay,Western Metropolitan
Newport,2,h,760000,2,1,2,255,Hobsons Bay,Western Metropolitan
Newport,8,h,881000,6,2,4,663,Hobsons Bay,Western Metropolitan
Newport,3,h,900000,3,2,2,360,Hobsons Bay,Western Metropolitan
Niddrie,3,t,830000,3,3,2,303,Moonee Valley,Western Metropolitan
Niddrie,3,h,780000,3,2,2,274,Moonee Valley,Western Metropolitan
Niddrie,3,h,1020000,3,1,2,650,Moonee Valley,Western Metropolitan
Niddrie,1,h,1330000,1,1,1,846,Moonee Valley,Western Metropolitan
Niddrie,4,h,1126000,4,2,2,650,Moonee Valley,Western Metropolitan
Niddrie,3,h,1235000,3,2,1,0,Moonee Valley,Western Metropolitan
Niddrie,2,u,457000,2,1,1,0,Moonee Valley,Western Metropolitan
Niddrie,2,u,660000,2,2,1,217,Moonee Valley,Western Metropolitan
Niddrie,3,t,770000,3,2,1,313,Moonee Valley,Western Metropolitan
Niddrie,3,h,895500,3,2,2,347,Moonee Valley,Western Metropolitan
Niddrie,4,h,1350000,4,3,2,747,Moonee Valley,Western Metropolitan
Niddrie,3,t,820000,3,2,1,229,Moonee Valley,Western Metropolitan
Niddrie,2,t,617500,2,1,1,237,Moonee Valley,Western Metropolitan
Niddrie,2,u,490000,2,1,1,142,Moonee Valley,Western Metropolitan
Niddrie,3,u,800000,3,2,1,0,Moonee Valley,Western Metropolitan
Niddrie,3,h,991000,3,1,1,716,Moonee Valley,Western Metropolitan
Niddrie,3,u,970000,3,2,1,320,Moonee Valley,Western Metropolitan
Niddrie,2,h,657000,2,2,1,268,Moonee Valley,Western Metropolitan
Niddrie,3,h,710000,3,2,1,317,Moonee Valley,Western Metropolitan
Niddrie,3,h,840000,3,1,2,603,Moonee Valley,Western Metropolitan
Niddrie,3,h,975000,3,1,1,822,Moonee Valley,Western Metropolitan
Niddrie,3,u,600000,3,2,1,164,Moonee Valley,Western Metropolitan
Niddrie,4,h,875000,4,3,1,321,Moonee Valley,Western Metropolitan
Niddrie,3,h,785000,3,1,2,620,Moonee Valley,Western Metropolitan
Niddrie,3,t,840000,3,2,2,374,Moonee Valley,Western Metropolitan
Niddrie,3,h,1076000,3,1,1,654,Moonee Valley,Western Metropolitan
Niddrie,4,h,850000,4,3,2,641,Moonee Valley,Western Metropolitan
Niddrie,5,h,1400000,4,2,2,650,Moonee Valley,Western Metropolitan
Niddrie,4,h,1080000,3,3,2,539,Moonee Valley,Western Metropolitan
Niddrie,3,h,1065000,3,1,2,653,Moonee Valley,Western Metropolitan
Niddrie,3,h,773000,3,2,2,403,Moonee Valley,Western Metropolitan
Niddrie,3,u,700000,3,1,1,202,Moonee Valley,Western Metropolitan
Niddrie,3,u,760000,3,2,1,198,Moonee Valley,Western Metropolitan
Niddrie,2,h,1190000,2,1,2,650,Moonee Valley,Western Metropolitan
Niddrie,3,h,1015000,3,1,1,643,Moonee Valley,Western Metropolitan
Niddrie,3,h,875000,3,1,0,656,Moonee Valley,Western Metropolitan
Niddrie,3,h,1020000,3,1,1,650,Moonee Valley,Western Metropolitan
Niddrie,3,u,773000,3,1,1,275,Moonee Valley,Western Metropolitan
Niddrie,2,u,522500,2,1,1,167,Moonee Valley,Western Metropolitan
Niddrie,3,h,1100000,3,1,1,655,Moonee Valley,Western Metropolitan
Niddrie,2,h,1007000,2,1,1,646,Moonee Valley,Western Metropolitan
Niddrie,4,h,1245000,4,3,3,0,Moonee Valley,Western Metropolitan
Niddrie,3,h,1155000,3,2,3,653,Moonee Valley,Western Metropolitan
Niddrie,3,u,746000,3,1,1,256,Moonee Valley,Western Metropolitan
Niddrie,4,h,1160000,4,3,2,424,Moonee Valley,Western Metropolitan
Niddrie,3,h,1105000,3,1,1,643,Moonee Valley,Western Metropolitan
Niddrie,2,u,591000,2,1,1,269,Moonee Valley,Western Metropolitan
Niddrie,3,h,960000,3,1,1,645,Moonee Valley,Western Metropolitan
Niddrie,3,u,815000,3,2,2,203,Moonee Valley,Western Metropolitan
North Melbourne,4,h,2920000,4,3,4,310,Melbourne,Northern Metropolitan
North Melbourne,3,h,1635000,2,1,0,517,Melbourne,Northern Metropolitan
North Melbourne,1,u,491000,1,1,1,0,Melbourne,Northern Metropolitan
North Melbourne,2,u,540000,2,1,1,0,Melbourne,Northern Metropolitan
North Melbourne,1,u,340000,1,1,1,0,Melbourne,Northern Metropolitan
North Melbourne,2,u,726000,2,1,1,0,Melbourne,Northern Metropolitan
North Melbourne,3,h,1340000,3,1,0,83,Melbourne,Northern Metropolitan
North Melbourne,2,t,1105000,2,2,1,88,Melbourne,Northern Metropolitan
North Melbourne,2,t,841000,2,1,1,215,Melbourne,Northern Metropolitan
North Melbourne,2,u,528500,2,1,1,0,Melbourne,Northern Metropolitan
North Melbourne,2,u,585000,2,1,1,0,Melbourne,Northern Metropolitan
North Melbourne,2,u,645000,2,1,1,0,Melbourne,Northern Metropolitan
North Melbourne,1,u,410000,1,1,1,1045,Melbourne,Northern Metropolitan
North Melbourne,2,u,550000,2,1,2,0,Melbourne,Northern Metropolitan
North Melbourne,2,u,470000,2,1,1,0,Melbourne,Northern Metropolitan
North Melbourne,2,u,470000,2,1,1,0,Melbourne,Northern Metropolitan
North Melbourne,2,u,475000,2,1,1,0,Melbourne,Northern Metropolitan
North Melbourne,2,u,640000,2,2,1,0,Melbourne,Northern Metropolitan
North Melbourne,4,h,1330000,3,2,1,246,Melbourne,Northern Metropolitan
North Melbourne,2,u,720000,2,2,1,0,Melbourne,Northern Metropolitan
