suburb,density,property,price,rooms,bedroom,toilets,ensuite,type,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
BELLAPAISE,COMPOUND,COTTAGE,60,2,0,1,0,SHARED,HUNYANI,HARARE MUNICIPALITY,0,0,0,0,0,0,0,1,0,0
MASEKO,COMPOUND,CLUSTER,65,2,0,1,0,SHARED,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,0,0,0
MAGADA,COMPOUND,HOUSE,90,2,0,1,0,SELF,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,1,0,1,0,0,0
STOPOVER,COMPOUND,CLUSTER,70,2,0,1,0,SHARED,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,0,0,0
SHUNGU,COMPOUND,CLUSTER,70,2,0,1,0,SHARED,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,0,0,0
VAINONA,LOW,COTTAGE,600,4,2,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
OVERSPILL,COMPOUND,CLUSTER,70,2,0,1,0,SHARED,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,1,0,0
CHADCOMBE,MEDIUM,HOUSE,650,5,3,1,0,SELF,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
PENTAGON,COMPOUND,CLUSTER,75,2,0,1,0,SHARED,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,0,0,0
CHINAMANO,COMPOUND,CLUSTER,75,2,0,1,0,SHARED,EPWORTH SOUTH,EPWORTH LOCAL BOARD,0,0,0,0,1,0,0,0,0,0
DOMBORAMWARI,COMPOUND,CLUSTER,80,2,0,1,0,SHARED,HUNYANI,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,1,0,0
MAKOMO,COMPOUND,CLUSTER,80,2,0,1,0,SHARED,EPWORTH NORTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,1,0,0
BALANCING ROCKS,COMPOUND,CLUSTER,80,2,0,1,0,SHARED,EPWORTH NORTH,EPWORTH LOCAL BOARD,0,0,0,0,1,0,1,0,0,0
USHEWOKUNZE,HIGH,CLUSTER,55,1,0,1,0,SHARED,CHURU,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
SOUTHVIEW PARK,HIGH,CLUSTER,55,1,0,1,0,SHARED,CHURU,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
CHADCOMBE,MEDIUM,HOUSE,650,6,3,2,1,SELF,HATFIELD,HARARE MUNICIPALITY,4,0,1,3,0,0,1,0,0,1
WATERFALLS,MEDIUM,HOUSE,650,6,3,2,1,SELF,HATFIELD,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
HATFIELD,MEDIUM,HOUSE,700,8,4,4,3,SELF,HATFIELD,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,1,1
MBARE,HIGH,CLUSTER,50,1,0,1,0,SHARED,MBARE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
STONERIDGE,HIGH,CLUSTER,50,1,0,1,0,SHARED,CHURU,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
RUGARE,HIGH,COTTAGE,200,3,0,1,0,SELF,SOUTHERTON,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
MARIMBA,HIGH,COTTAGE,200,3,2,1,0,SELF,SOUTHERTON,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
SOUTHLEA PARK,HIGH,CLUSTER,48,1,0,1,0,SHARED,CHURU,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
AMSTERDAM PARK,HIGH,CLUSTER,45,1,0,1,0,SHARED,CHURU,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
DAVIS GRANITE,HIGH,CLUSTER,45,1,0,1,0,SHARED,HUNYANI,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
SHEENA FLOWERS,HIGH,CLUSTER,45,1,0,1,0,SHARED,HUNYANI,HARARE MUNICIPALITY,0,0,0,0,0,0,0,0,0,0
DAWNVIEW,HIGH,COTTAGE,200,3,1,1,0,SELF,WARREN PARK,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
BUDIRIRO 3,HIGH,COTTAGE,160,3,0,1,0,SELF,GLENVIEW NORTH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
MUGUTA,COMPOUND,CLUSTER,80,2,0,1,0,SHARED,EPWORTH NORTH,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,1,0,0
ZINYENGERE,COMPOUND,CLUSTER,80,3,0,1,0,SHARED,HUNYANI,EPWORTH LOCAL BOARD,0,0,0,0,0,0,0,0,0,0
GLENWOOD PARK,HIGH,COTTAGE,150,3,0,1,0,SELF,HUNYANI,EPWORTH LOCAL BOARD,0,0,0,0,1,0,0,1,0,0
WARREN PARK,HIGH,COTTAGE,140,2,0,1,0,SELF,HARARE CENTRAL,HARARE MUNICIPALITY,1,0,0,0,1,0,1,0,0,0
RETREAT PARK,HIGH,CLUSTER,30,1,0,1,0,SHARED,HUNYANI,HARARE MUNICIPALITY,0,0,0,0,0,0,0,0,0,0
KAMBUZUMA,HIGH,COTTAGE,125,2,0,1,0,SELF,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
EYECOURT,HIGH,CLUSTER,30,2,0,1,0,SHARED,HARARE SOUTH,HARARE MUNICIPALITY,0,0,0,0,0,0,0,0,0,0
HATFIELD,MEDIUM,HOUSE,650,6,3,2,1,SELF,HATFIELD,HARARE MUNICIPALITY,2,0,0,0,1,1,1,1,0,1
LOCHINVAR,HIGH,CLUSTER,300,6,3,2,0,SHARED,SOUTHERTON,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
CRESTBREEDERS,COMPOUND,COTTAGE,100,3,0,1,0,SHARED,CHURU,HARARE MUNICIPALITY,0,0,0,0,0,0,0,1,0,0
KUWADZANA 5,HIGH,CLUSTER,300,5,3,1,0,SHARED,KUWADZANA WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
WILLOVALE INDUSTRY,HIGH,FLAT,300,4,2,1,0,SELF,GLENVIEW NORTH,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,0
KUWADZANA 3,HIGH,CLUSTER,275,5,3,2,0,SHARED,KUWADZANA EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
MABVUKU,HIGH,CLUSTER,255,5,2,2,0,SHARED,MABVUKU TAFARA,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
KUWADZANA 8,HIGH,CLUSTER,250,5,2,2,0,SHARED,KUWADZANA WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
DERBSHIRE VILLAGE FARM,COMPOUND,COTTAGE,120,4,0,1,0,SHARED,HUNYANI,HARARE MUNICIPALITY,0,0,0,0,0,0,0,1,0,0
SUNNINGDALE,HIGH,CLUSTER,240,4,2,1,0,SHARED,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
GRANARY,HIGH,CLUSTER,220,4,2,1,0,SHARED,BUDIRIRO NORTH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
KUWADZANA 7,HIGH,CLUSTER,200,4,2,1,0,SHARED,KUWADZANA WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
WESTWOOD,HIGH,CLUSTER,195,3,1,1,0,SHARED,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
HOUGHTON PARK,HIGH,CLUSTER,180,3,1,1,0,SHARED,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
BUDIRIRO 2,HIGH,CLUSTER,165,3,1,1,0,SHARED,BUDIRIRO SOUTH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
KUWADZANA 2,HIGH,CLUSTER,150,3,1,1,0,SHARED,KUWADZANA EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
MUFAKOSE,HIGH,CLUSTER,130,2,0,1,0,SHARED,SOUTHERTON,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
BEVERLY EAST,HIGH,CLUSTER,120,2,0,1,0,SHARED,HARARE EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
PARKRIDGE,HIGH,CLUSTER,120,2,0,1,0,SHARED,KUWADZANA WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
BUDIRIRO 1,HIGH,CLUSTER,110,2,0,1,0,SHARED,BUDIRIRO SOUTH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
HERBET CHITEPO,HIGH,CLUSTER,110,2,0,1,0,SHARED,KUWADZANA WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
CROWBOROUGH,HIGH,CLUSTER,110,2,0,1,0,SHARED,KUWADZANA WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
KUWADZANA 4,HIGH,CLUSTER,90,2,0,1,0,SHARED,KUWADZANA WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
COLD COMFORT,HIGH,CLUSTER,25,1,0,1,0,SHARED,WARREN PARK,HARARE MUNICIPALITY,0,0,0,0,0,0,0,0,0,0
DEVINE EVENTS,HIGH,CLUSTER,85,2,0,1,0,SHARED,HATCLIFFE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
SOUTHLANDS,HIGH,CLUSTER,80,1,0,1,0,SHARED,HARARE SOUTH,HARARE MUNICIPALITY,0,0,0,0,1,0,0,1,0,0
BUDIRIRO 4,HIGH,CLUSTER,75,1,0,1,0,SHARED,BUDIRIRO NORTH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
SOUTHERTON,HIGH,CLUSTER,65,1,0,1,0,SHARED,SOUTHERTON,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
GLEN VIEW,HIGH,CLUSTER,55,1,0,1,0,SHARED,GLENVIEW SOUTH,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
KUWADZANA 1,HIGH,CLUSTER,50,1,0,1,0,SHARED,KUWADZANA EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
PARKTOWN,MEDIUM,HOUSE,700,6,4,2,1,SELF,HATFIELD,HARARE MUNICIPALITY,2,0,1,2,1,1,1,1,0,1
HOPLEY,HIGH,CLUSTER,40,1,0,1,0,SHARED,HARARE SOUTH,HARARE MUNICIPALITY,0,0,0,0,1,0,0,1,0,0
AVONDALE,LOW,CLUSTER,200,2,0,1,0,SHARED,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
AVONDALE,LOW,CLUSTER,200,2,0,1,0,SHARED,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
EASTLEA,LOW,CLUSTER,350,3,0,1,0,SHARED,SUNNINGDALE,HARARE MUNICIPALITY,1,0,0,0,1,0,1,0,0,0
HILLSIDE,LOW,COTTAGE,300,2,0,1,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,1,0,1,0,1,1,1,1,0,0
MSASA,LOW,CLUSTER,240,2,0,1,0,SHARED,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,0
GUNHILL,LOW,HOUSE,2500,8,4,2,2,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
COLNE VALLEY,LOW,HOUSE,2500,8,4,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,0,1
ARLINGTON ESTATE,LOW,HOUSE,700,5,3,2,1,SELF,HUNYANI,HARARE MUNICIPALITY,1,0,1,0,1,0,1,0,1,1
WESTLEA,MEDIUM,COTTAGE,350,3,0,1,0,SELF,WARREN PARK,HARARE MUNICIPALITY,1,0,0,0,1,1,1,1,0,0
MADOKERO,LOW,HOUSE,1000,5,2,1,0,SELF,HARARE WEST,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,1,0
GROOMBRIDGE,LOW,HOUSE,2500,7,5,4,3,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,1,2,1,1,1,1,0,1
JOSHUA NKOMO,HIGH,HOUSE,420,6,3,2,1,SELF,WARREN PARK,HARARE MUNICIPALITY,1,0,0,0,1,0,1,1,0,0
EMERALD HILL,LOW,FLAT,2000,9,4,3,2,SELF,HARARE WEST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
ASHBRITTLE,LOW,HOUSE,1500,6,3,4,3,SELF,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
GREENDALE,LOW,HOUSE,800,4,4,2,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
GREENDALE,LOW,FLAT,1300,6,3,2,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,1,1,1,1,1,0,0
GREENDALE,LOW,HOUSE,850,6,3,2,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,2,0,1,2,1,1,1,1,0,1
GREENDALE,LOW,HOUSE,1000,7,3,2,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,1,0,1,0,1,1,1,1,0,0
GREENDALE,LOW,COTTAGE,700,4,2,2,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
GREENDALE,LOW,HOUSE,800,6,3,2,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
GREENDALE,LOW,FLAT,1500,6,3,2,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,1,1,1,2,1,0,1,0,0,1
GREENDALE,LOW,HOUSE,1350,6,3,2,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,2,1,1,1,1,0,1
GREENDALE,LOW,COTTAGE,150,2,1,1,0,SELF,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
GREENDALE,LOW,HOUSE,1700,6,3,2,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,1,1,1,1,1,1,1,1,0,1
NORTHWOOD,LOW,FLAT,3500,7,4,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,2,1,1,1,1,0,1
NORTHWOOD,LOW,HOUSE,1800,6,3,2,1,SELF,MOUNT PLEASANT,HARARE MUNICIPALITY,1,1,1,1,1,1,1,0,0,1
CROWHILL,LOW,HOUSE,800,5,3,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
GREYSTONE PARK,LOW,HOUSE,2200,8,4,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,0,1
GREYSTONE PARK,LOW,FLAT,3000,15,7,8,7,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
GREYSTONE PARK,LOW,FLAT,2500,10,4,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
GREYSTONE PARK,LOW,FLAT,3500,10,7,4,3,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
GREYSTONE PARK,LOW,CLUSTER,800,6,3,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
GREYSTONE PARK,LOW,FLAT,1800,8,5,3,1,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,0,1,0,1
VAINONA,LOW,FLAT,2500,8,3,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,4,1,0,1,1,0,0
VAINONA,LOW,HOUSE,2500,10,3,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,1,0,1,4,1,0,1,0,0,1
VAINONA,LOW,CLUSTER,2000,5,3,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,0,1,0,1,1,1,1
VAINONA,LOW,HOUSE,2250,9,4,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,3,1,0,1,1,0,1
GLEN LORNE,LOW,COTTAGE,850,5,3,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,3,0,0,0,1,0,1,1,1,0
GLEN LORNE,LOW,COTTAGE,650,3,1,1,0,SELF,HARARE EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
EMERALD HILL,LOW,HOUSE,1300,6,3,2,1,SELF,HARARE WEST,HARARE MUNICIPALITY,0,1,0,2,1,0,1,1,0,1
POMONA,LOW,HOUSE,3000,9,5,4,3,SELF,HARARE EAST,HARARE MUNICIPALITY,3,0,1,2,1,1,1,0,0,1
HATFIELD,MEDIUM,COTTAGE,550,5,3,2,1,SELF,HATFIELD,HARARE MUNICIPALITY,1,0,1,0,1,1,1,1,0,1
SOUTHVIEW PARK,HIGH,CLUSTER,300,4,2,2,1,SHARED,CHURU,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
TYNWALD,MEDIUM,CLUSTER,150,1,0,0,0,SHARED,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
HOUGHTON PARK,HIGH,CLUSTER,550,6,1,1,0,SHARED,SUNNINGDALE,HARARE MUNICIPALITY,1,0,1,0,1,1,1,1,0,0
HILLSIDE,LOW,HOUSE,1300,2,0,1,1,SELF,SUNNINGDALE,HARARE MUNICIPALITY,3,1,1,3,1,1,1,1,0,1
MILTON PARK,LOW,HOUSE,800,6,2,2,1,SELF,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
HOGERTY HILL,LOW,HOUSE,1600,5,2,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,2,0,1,2,1,0,1,1,0,1
HOGERTY HILL,LOW,HOUSE,1500,5,3,2,1,SELF,HARARE EAST,HARARE MUNICIPALITY,2,1,1,2,1,0,1,0,0,1
